transaction_id,agent_id,policy_id,transaction_type,transaction_date,commission_rate,commission_amount_shareholders_fund
AGX00000001,AGT0072,POL0002244,Renewal,2025-08-02,0.12,147.12
AGX00000002,AGT0066,POL0000336,Renewal,2025-03-09,0.13,147.86
AGX00000003,AGT0107,POL0000462,Renewal,2026-08-23,0.25,465.17
AGX00000004,AGT0144,POL0000373,New Business,2025-06-26,0.19,59.78
AGX00000005,AGT0005,POL0001619,New Business,2023-10-05,0.17,291.98
AGX00000006,AGT0059,POL0000697,Renewal,2024-02-12,0.24,117.45
AGX00000007,AGT0115,POL0002804,Renewal,2026-07-31,0.17,275.43
AGX00000008,AGT0057,POL0000587,Renewal,2023-08-01,0.22,168.0
AGX00000009,AGT0053,POL0004282,New Business,2026-06-29,0.07,135.5
AGX00000010,AGT0108,POL0002720,Renewal,2023-04-17,0.06,16.09
AGX00000011,AGT0074,POL0002015,New Business,2024-08-02,0.21,186.65
AGX00000012,AGT0111,POL0003705,Renewal,2025-12-23,0.14,63.31
AGX00000013,AGT0123,POL0002444,New Business,2026-03-13,0.13,170.4
AGX00000014,AGT0077,POL0000098,Renewal,2025-09-01,0.24,405.3
AGX00000015,AGT0054,POL0003625,New Business,2025-12-14,0.08,104.18
AGX00000016,AGT0127,POL0002752,Renewal,2025-05-19,0.21,374.38
AGX00000017,AGT0012,POL0002135,Renewal,2024-09-21,0.11,184.35
AGX00000018,AGT0077,POL0002838,New Business,2026-05-18,0.16,202.71
AGX00000019,AGT0131,POL0000944,New Business,2025-11-24,0.1,82.06
AGX00000020,AGT0093,POL0002655,New Business,2026-09-02,0.17,277.52
AGX00000021,AGT0028,POL0003155,New Business,2026-04-16,0.22,354.07
AGX00000022,AGT0036,POL0004117,Renewal,2026-02-17,0.23,79.44
AGX00000023,AGT0039,POL0000004,Renewal,2021-11-24,0.22,422.62
AGX00000024,AGT0072,POL0001626,Renewal,2023-06-13,0.1,190.57
AGX00000025,AGT0150,POL0001241,Renewal,2026-07-20,0.24,233.81
AGX00000026,AGT0150,POL0004565,New Business,2023-06-10,0.17,108.85
AGX00000027,AGT0083,POL0000769,Renewal,2025-11-29,0.15,203.82
AGX00000028,AGT0058,POL0004061,Renewal,2025-02-08,0.1,178.79
AGX00000029,AGT0121,POL0000363,Renewal,2025-10-16,0.12,82.46
AGX00000030,AGT0040,POL0002857,Renewal,2025-07-06,0.2,40.54
AGX00000031,AGT0110,POL0004699,Renewal,2024-01-31,0.23,268.91
AGX00000032,AGT0065,POL0002217,New Business,2026-06-08,0.15,86.51
AGX00000033,AGT0027,POL0002134,Renewal,2026-03-11,0.22,355.02
AGX00000034,AGT0042,POL0003440,Renewal,2024-02-11,0.14,191.14
AGX00000035,AGT0078,POL0000485,New Business,2022-10-28,0.23,195.63
AGX00000036,AGT0144,POL0000259,Renewal,2026-05-01,0.22,79.24
AGX00000037,AGT0020,POL0004970,New Business,2026-07-03,0.19,203.98
AGX00000038,AGT0144,POL0003642,Renewal,2026-07-28,0.15,154.53
AGX00000039,AGT0036,POL0000178,New Business,2026-01-16,0.19,156.01
AGX00000040,AGT0137,POL0004144,New Business,2025-05-18,0.2,343.66
AGX00000041,AGT0074,POL0002665,New Business,2026-05-12,0.21,268.35
AGX00000042,AGT0055,POL0002550,Renewal,2026-06-03,0.2,337.37
AGX00000043,AGT0095,POL0001338,Renewal,2025-10-26,0.18,349.9
AGX00000044,AGT0125,POL0002027,New Business,2025-11-05,0.22,26.12
AGX00000045,AGT0136,POL0001114,New Business,2026-08-21,0.23,29.81
AGX00000046,AGT0143,POL0000795,Renewal,2026-03-06,0.24,51.66
AGX00000047,AGT0063,POL0002357,Renewal,2026-07-12,0.07,18.97
AGX00000048,AGT0150,POL0000931,New Business,2026-07-15,0.15,81.96
AGX00000049,AGT0066,POL0000786,New Business,2026-03-15,0.17,222.89
AGX00000050,AGT0008,POL0004326,Renewal,2026-05-21,0.1,8.32
AGX00000051,AGT0045,POL0003400,New Business,2021-12-01,0.18,254.04
AGX00000052,AGT0005,POL0000120,Renewal,2026-04-16,0.14,72.59
AGX00000053,AGT0107,POL0000380,New Business,2026-08-19,0.12,17.41
AGX00000054,AGT0044,POL0002827,New Business,2025-09-06,0.24,213.65
AGX00000055,AGT0007,POL0003756,New Business,2025-03-06,0.15,12.66
AGX00000056,AGT0104,POL0002149,Renewal,2025-12-28,0.21,408.91
AGX00000057,AGT0126,POL0002644,Renewal,2025-10-09,0.12,238.32
AGX00000058,AGT0022,POL0001585,New Business,2023-12-20,0.08,111.82
AGX00000059,AGT0079,POL0002881,Renewal,2025-01-09,0.08,108.81
AGX00000060,AGT0020,POL0004625,New Business,2026-02-13,0.07,23.45
AGX00000061,AGT0131,POL0004009,Renewal,2026-02-10,0.06,74.73
AGX00000062,AGT0001,POL0004846,Renewal,2026-01-06,0.1,82.22
AGX00000063,AGT0095,POL0004135,New Business,2025-06-17,0.09,35.02
AGX00000064,AGT0079,POL0003608,Renewal,2023-03-06,0.16,85.82
AGX00000065,AGT0055,POL0001470,Renewal,2024-11-18,0.06,73.6
AGX00000066,AGT0060,POL0004185,Renewal,2026-08-30,0.2,349.56
AGX00000067,AGT0042,POL0001509,Renewal,2025-02-08,0.14,96.45
AGX00000068,AGT0150,POL0004795,Renewal,2024-07-30,0.19,249.81
AGX00000069,AGT0126,POL0004042,New Business,2025-12-02,0.13,59.38
AGX00000070,AGT0090,POL0000187,Renewal,2021-10-14,0.22,131.91
AGX00000071,AGT0149,POL0004336,Renewal,2023-11-29,0.22,163.9
AGX00000072,AGT0114,POL0003660,New Business,2024-10-13,0.19,347.43
AGX00000073,AGT0119,POL0003576,Renewal,2026-08-23,0.06,3.67
AGX00000074,AGT0114,POL0002151,Renewal,2026-02-23,0.24,204.21
AGX00000075,AGT0019,POL0004274,Renewal,2025-08-23,0.17,56.81
AGX00000076,AGT0072,POL0000183,New Business,2022-12-30,0.2,229.29
AGX00000077,AGT0089,POL0002912,New Business,2026-02-20,0.22,36.4
AGX00000078,AGT0018,POL0000828,New Business,2024-04-13,0.1,145.16
AGX00000079,AGT0014,POL0002440,Renewal,2022-04-06,0.09,64.29
AGX00000080,AGT0102,POL0001787,New Business,2026-08-11,0.2,375.79
AGX00000081,AGT0141,POL0003056,New Business,2023-09-02,0.22,406.64
AGX00000082,AGT0055,POL0003385,Renewal,2025-06-16,0.08,87.03
AGX00000083,AGT0091,POL0001354,Renewal,2025-01-01,0.06,111.4
AGX00000084,AGT0010,POL0000617,Renewal,2026-02-07,0.23,420.94
AGX00000085,AGT0092,POL0004452,New Business,2026-07-17,0.19,262.52
AGX00000086,AGT0015,POL0000633,Renewal,2026-06-07,0.06,4.48
AGX00000087,AGT0068,POL0004955,New Business,2026-02-12,0.16,145.54
AGX00000088,AGT0081,POL0000033,Renewal,2026-03-18,0.21,179.98
AGX00000089,AGT0137,POL0003120,Renewal,2025-08-15,0.18,308.92
AGX00000090,AGT0078,POL0001739,Renewal,2024-11-18,0.13,211.75
AGX00000091,AGT0130,POL0002083,New Business,2025-04-12,0.23,199.61
AGX00000092,AGT0063,POL0004310,Renewal,2024-08-26,0.12,35.37
AGX00000093,AGT0081,POL0004314,New Business,2026-08-02,0.13,221.91
AGX00000094,AGT0146,POL0004302,New Business,2026-06-15,0.19,318.69
AGX00000095,AGT0040,POL0001765,Renewal,2025-01-26,0.17,167.72
AGX00000096,AGT0143,POL0002453,New Business,2022-12-23,0.21,414.3
AGX00000097,AGT0088,POL0002958,Renewal,2024-10-22,0.15,131.88
AGX00000098,AGT0086,POL0003776,Renewal,2025-03-29,0.2,59.6
AGX00000099,AGT0100,POL0000515,New Business,2025-07-25,0.25,36.55
AGX00000100,AGT0102,POL0001300,Renewal,2026-01-13,0.12,209.76
AGX00000101,AGT0046,POL0001827,Renewal,2026-06-06,0.1,176.69
AGX00000102,AGT0027,POL0002041,Renewal,2025-09-04,0.16,267.67
AGX00000103,AGT0007,POL0000869,New Business,2022-07-21,0.15,191.97
AGX00000104,AGT0130,POL0001393,New Business,2024-08-16,0.07,7.17
AGX00000105,AGT0057,POL0001701,Renewal,2022-01-14,0.11,178.6
AGX00000106,AGT0149,POL0001984,Renewal,2025-10-04,0.07,18.51
AGX00000107,AGT0047,POL0001183,New Business,2026-06-18,0.1,170.21
AGX00000108,AGT0093,POL0001849,New Business,2025-04-01,0.22,410.07
AGX00000109,AGT0138,POL0002065,Renewal,2022-06-10,0.23,152.23
AGX00000110,AGT0014,POL0001725,Renewal,2025-06-10,0.24,230.38
AGX00000111,AGT0114,POL0004527,New Business,2022-12-28,0.06,67.32
AGX00000112,AGT0131,POL0000781,New Business,2025-11-29,0.2,347.7
AGX00000113,AGT0079,POL0000504,Renewal,2026-06-30,0.16,185.09
AGX00000114,AGT0067,POL0002555,Renewal,2024-01-18,0.16,278.06
AGX00000115,AGT0013,POL0004163,Renewal,2025-12-18,0.18,222.88
AGX00000116,AGT0074,POL0000865,Renewal,2024-11-22,0.12,32.85
