contribution_id,policy_id,contribution_date,gross_amount,wakalah_fee_shareholders_fund,prf_amount,pif_amount,payment_method
CTB00000001,POL0001496,2025-04-21,1272.84,381.85,890.99,0.0,Online Banking
CTB00000002,POL0004142,2025-07-22,172.87,51.86,121.01,0.0,Salary Deduction
CTB00000003,POL0001619,2023-12-23,1717.53,480.91,1236.62,0.0,Credit Card
CTB00000004,POL0000210,2024-12-09,1234.15,345.56,888.59,0.0,Credit Card
CTB00000005,POL0000943,2026-05-05,1362.74,245.29,312.89,804.56,Auto-Debit
CTB00000006,POL0003362,2025-12-12,1128.91,282.23,846.68,0.0,Online Banking
CTB00000007,POL0001564,2025-07-01,967.73,251.61,716.12,0.0,Salary Deduction
CTB00000008,POL0001877,2025-08-16,437.33,113.71,323.62,0.0,Auto-Debit
CTB00000009,POL0002693,2024-10-12,1495.06,463.47,268.21,763.38,Auto-Debit
CTB00000010,POL0000950,2026-06-06,767.79,207.3,560.49,0.0,Credit Card
CTB00000011,POL0001019,2026-08-02,1137.13,398.0,739.13,0.0,Credit Card
CTB00000012,POL0003671,2023-11-25,55.91,11.18,13.87,30.86,Credit Card
CTB00000013,POL0000375,2024-08-27,681.27,129.44,148.99,402.84,Salary Deduction
CTB00000014,POL0002407,2026-08-06,968.11,193.62,271.07,503.42,Credit Card
CTB00000015,POL0003100,2025-09-03,240.94,38.55,91.08,111.31,Auto-Debit
CTB00000016,POL0002650,2026-02-03,699.24,202.78,496.46,0.0,Auto-Debit
CTB00000017,POL0000088,2026-05-19,1330.74,266.15,1064.59,0.0,Online Banking
CTB00000018,POL0004184,2026-03-07,777.62,186.63,590.99,0.0,Online Banking
CTB00000019,POL0000453,2025-12-02,680.3,122.45,133.88,423.97,Auto-Debit
CTB00000020,POL0002611,2026-03-01,630.43,113.48,516.95,0.0,Online Banking
CTB00000021,POL0000394,2021-10-30,557.45,156.09,160.54,240.82,Salary Deduction
CTB00000022,POL0003866,2025-11-23,1218.96,268.17,950.79,0.0,Salary Deduction
CTB00000023,POL0002565,2026-04-12,487.88,117.09,370.79,0.0,Salary Deduction
CTB00000024,POL0004914,2026-02-21,1749.49,612.32,272.92,864.25,Auto-Debit
CTB00000025,POL0000223,2026-01-05,456.52,146.09,105.55,204.88,Salary Deduction
CTB00000026,POL0002808,2026-05-19,877.19,210.53,666.66,0.0,Credit Card
CTB00000027,POL0004829,2025-09-24,449.57,80.92,173.27,195.38,Online Banking
CTB00000028,POL0000979,2025-02-27,1052.49,178.92,873.57,0.0,Auto-Debit
CTB00000029,POL0004570,2022-01-30,1210.97,375.4,835.57,0.0,Online Banking
CTB00000030,POL0000642,2022-09-19,795.37,174.98,210.93,409.46,Auto-Debit
CTB00000031,POL0004842,2024-10-01,1088.95,206.9,882.05,0.0,Salary Deduction
CTB00000032,POL0003484,2026-06-07,1388.28,236.01,576.13,576.14,Credit Card
CTB00000033,POL0004155,2026-09-07,1962.72,333.66,1629.06,0.0,Online Banking
CTB00000034,POL0003813,2026-09-07,1087.83,250.2,175.9,661.73,Auto-Debit
CTB00000035,POL0003692,2022-07-18,566.25,101.92,464.33,0.0,Credit Card
CTB00000036,POL0002796,2025-03-16,748.16,246.89,501.27,0.0,Credit Card
CTB00000037,POL0004431,2025-08-24,1661.07,431.88,1229.19,0.0,Auto-Debit
CTB00000038,POL0003922,2026-09-08,1158.48,301.2,857.28,0.0,Salary Deduction
CTB00000039,POL0002180,2025-06-15,1045.52,324.11,353.49,367.92,Credit Card
CTB00000040,POL0002239,2025-04-19,709.94,134.89,575.05,0.0,Auto-Debit
CTB00000041,POL0001500,2026-04-25,1786.55,446.64,1339.91,0.0,Credit Card
CTB00000042,POL0004863,2024-11-23,826.68,281.07,120.03,425.58,Salary Deduction
CTB00000043,POL0003708,2023-06-20,1349.07,337.27,1011.8,0.0,Salary Deduction
CTB00000044,POL0003096,2025-04-08,53.7,11.28,42.42,0.0,Auto-Debit
CTB00000045,POL0001595,2026-08-31,331.54,53.05,278.49,0.0,Salary Deduction
CTB00000046,POL0004259,2025-04-12,204.21,36.76,167.45,0.0,Auto-Debit
CTB00000047,POL0003832,2026-09-11,606.03,181.81,156.96,267.26,Salary Deduction
CTB00000048,POL0002695,2026-09-08,1452.24,304.97,1147.27,0.0,Salary Deduction
CTB00000049,POL0000028,2022-08-25,1150.86,195.65,955.21,0.0,Salary Deduction
CTB00000050,POL0004874,2022-06-07,1492.68,283.61,459.45,749.62,Online Banking
CTB00000051,POL0001093,2025-10-28,913.23,237.44,223.01,452.78,Auto-Debit
CTB00000052,POL0001795,2025-03-22,1916.53,594.12,1322.41,0.0,Salary Deduction
CTB00000053,POL0003886,2026-07-03,1881.27,545.57,1335.7,0.0,Auto-Debit
CTB00000054,POL0000792,2025-08-26,1108.36,188.42,377.18,542.76,Salary Deduction
CTB00000055,POL0001079,2022-09-02,1686.53,371.04,1315.49,0.0,Auto-Debit
CTB00000056,POL0001011,2026-08-11,1455.25,436.57,1018.68,0.0,Auto-Debit
CTB00000057,POL0004465,2022-03-28,1108.27,332.48,775.79,0.0,Credit Card
CTB00000058,POL0001102,2024-06-17,1811.69,579.74,295.67,936.28,Auto-Debit
CTB00000059,POL0003297,2025-11-25,554.43,110.89,443.54,0.0,Salary Deduction
CTB00000060,POL0003574,2024-11-07,805.93,257.9,548.03,0.0,Credit Card
CTB00000061,POL0004438,2025-11-03,1357.14,217.14,1140.0,0.0,Online Banking
CTB00000062,POL0004746,2025-07-08,387.31,108.45,278.86,0.0,Online Banking
CTB00000063,POL0003626,2021-11-14,717.51,193.73,178.09,345.69,Salary Deduction
