policy_id,participant_id,product_name,product_category,has_pif,start_date,end_date,term_years,payment_mode,contribution_amount,status,agent_id,branch
POL0000001,PTP001286,Family Takaful - Life Protection,Family,True,2021-11-14,2041-11-09,20,Monthly,1104.53,Lapsed,AGT0054,Putrajaya
POL0000002,PTP002107,Family Takaful - Education,Family,True,2024-12-15,2044-12-10,20,Annual,176.36,Active,AGT0143,Negeri Sembilan
POL0000003,PTP001514,Motor Takaful,General,False,2025-05-19,2030-05-18,5,Quarterly,839.72,Active,AGT0141,Putrajaya
POL0000004,PTP001684,Family Takaful - Life Protection,Family,True,2021-04-04,2026-04-03,5,Annual,1921.0,Active,AGT0039,Kedah
POL0000005,PTP002432,Medical & Health Takaful,Family,False,2022-03-22,2027-03-21,5,Monthly,273.31,Active,AGT0086,Penang
POL0000006,PTP002242,Personal Accident Takaful,General,False,2022-02-13,2027-02-12,5,Annual,1860.38,Lapsed,AGT0026,Perak
POL0000007,PTP000109,Fire Takaful,General,False,2026-06-24,2027-06-24,1,Annual,1835.05,Lapsed,AGT0010,Johor
POL0000008,PTP000193,Medical & Health Takaful,Family,False,2022-06-25,2027-06-24,5,Quarterly,988.04,Active,AGT0037,Kelantan
POL0000009,PTP002267,Motor Takaful,General,False,2023-08-05,2028-08-03,5,Annual,586.06,Active,AGT0117,Kuala Lumpur
POL0000010,PTP000994,Fire Takaful,General,False,2024-07-19,2025-07-19,1,Semi-Annual,870.41,Active,AGT0106,Kedah
POL0000011,PTP000783,Family Takaful - Retirement,Family,True,2024-12-22,2039-12-19,15,Annual,75.88,Active,AGT0026,Sabah
POL0000012,PTP002696,Family Takaful - Life Protection,Family,True,2022-02-15,2032-02-13,10,Monthly,692.08,Active,AGT0082,Putrajaya
POL0000013,PTP002770,Family Takaful - Education,Family,True,2025-01-04,2030-01-03,5,Annual,1305.23,Active,AGT0057,Melaka
POL0000014,PTP002912,Personal Accident Takaful,General,False,2024-02-22,2034-02-19,10,Semi-Annual,137.19,Cancelled,AGT0138,Sarawak
POL0000015,PTP000429,Family Takaful - Education,Family,True,2024-06-29,2025-06-29,1,Annual,651.71,Cancelled,AGT0027,Perak
POL0000016,PTP000930,Fire Takaful,General,False,2024-08-14,2025-08-14,1,Annual,436.98,Active,AGT0101,Penang
POL0000017,PTP000154,Motor Takaful,General,False,2025-11-29,2040-11-25,15,Monthly,1254.92,Matured,AGT0037,Kedah
POL0000018,PTP002617,Family Takaful - Retirement,Family,True,2023-12-30,2033-12-27,10,Semi-Annual,881.39,Active,AGT0122,Negeri Sembilan
POL0000019,PTP000102,Personal Accident Takaful,General,False,2023-08-08,2038-08-04,15,Annual,1464.98,Cancelled,AGT0006,Penang
POL0000020,PTP001770,Family Takaful - Life Protection,Family,True,2022-07-06,2042-07-01,20,Quarterly,672.63,Lapsed,AGT0130,Sarawak
POL0000021,PTP000488,Family Takaful - Retirement,Family,True,2026-08-03,2036-07-31,10,Quarterly,933.36,Active,AGT0038,Putrajaya
POL0000022,PTP000957,Family Takaful - Education,Family,True,2025-05-31,2045-05-26,20,Quarterly,1559.35,Lapsed,AGT0035,Penang
POL0000023,PTP001358,Motor Takaful,General,False,2025-02-17,2035-02-15,10,Quarterly,1302.94,Active,AGT0077,Penang
POL0000024,PTP001540,Personal Accident Takaful,General,False,2025-03-08,2026-03-08,1,Semi-Annual,1122.48,Active,AGT0150,Perlis
POL0000025,PTP001594,Family Takaful - Education,Family,True,2026-03-27,2031-03-26,5,Annual,634.79,Lapsed,AGT0066,Kelantan
POL0000026,PTP000724,Fire Takaful,General,False,2022-05-17,2032-05-14,10,Semi-Annual,1498.87,Active,AGT0022,Labuan
POL0000027,PTP001097,Fire Takaful,General,False,2022-04-16,2037-04-12,15,Monthly,174.1,Active,AGT0042,Sabah
POL0000028,PTP000316,Motor Takaful,General,False,2022-01-21,2037-01-17,15,Monthly,1150.86,Active,AGT0074,Johor
POL0000029,PTP000934,Personal Accident Takaful,General,False,2024-05-13,2034-05-11,10,Annual,1351.91,Active,AGT0015,Melaka
POL0000030,PTP002304,Family Takaful - Life Protection,Family,True,2026-06-18,2041-06-14,15,Quarterly,611.21,Active,AGT0033,Kelantan
POL0000031,PTP001183,Fire Takaful,General,False,2023-09-16,2028-09-14,5,Monthly,1552.77,Lapsed,AGT0109,Terengganu
POL0000032,PTP000122,Motor Takaful,General,False,2025-04-24,2030-04-23,5,Quarterly,277.32,Active,AGT0116,Putrajaya
POL0000033,PTP000505,Motor Takaful,General,False,2025-03-27,2040-03-23,15,Monthly,857.03,Active,AGT0081,Kelantan
POL0000034,PTP000986,Family Takaful - Retirement,Family,True,2022-12-14,2023-12-14,1,Quarterly,312.13,Active,AGT0057,Melaka
POL0000035,PTP002514,Motor Takaful,General,False,2021-06-12,2022-06-12,1,Quarterly,1804.31,Lapsed,AGT0109,Kedah
POL0000036,PTP001725,Medical & Health Takaful,Family,False,2025-01-06,2045-01-01,20,Monthly,1493.72,Active,AGT0116,Penang
POL0000037,PTP001342,Family Takaful - Life Protection,Family,True,2024-05-31,2034-05-29,10,Monthly,1637.79,Active,AGT0007,Sabah
POL0000038,PTP000866,Family Takaful - Life Protection,Family,True,2024-12-06,2025-12-06,1,Annual,942.95,Matured,AGT0112,Negeri Sembilan
POL0000039,PTP000574,Personal Accident Takaful,General,False,2025-03-24,2026-03-24,1,Annual,264.59,Active,AGT0033,Kelantan
POL0000040,PTP000894,Family Takaful - Education,Family,True,2025-01-01,2039-12-29,15,Semi-Annual,1792.57,Active,AGT0041,Sabah
POL0000041,PTP001991,Fire Takaful,General,False,2025-12-02,2040-11-28,15,Semi-Annual,1709.08,Lapsed,AGT0077,Kuala Lumpur
POL0000042,PTP000108,Family Takaful - Life Protection,Family,True,2024-08-17,2025-08-17,1,Semi-Annual,1946.97,Active,AGT0054,Melaka
POL0000043,PTP001182,Fire Takaful,General,False,2023-11-14,2043-11-09,20,Quarterly,828.69,Active,AGT0138,Kedah
POL0000044,PTP002346,Family Takaful - Education,Family,True,2024-05-16,2039-05-13,15,Quarterly,1522.31,Active,AGT0093,Melaka
POL0000045,PTP001549,Fire Takaful,General,False,2021-12-09,2031-12-07,10,Semi-Annual,1388.94,Active,AGT0051,Perak
POL0000046,PTP001465,Family Takaful - Education,Family,True,2022-04-14,2032-04-11,10,Annual,1408.53,Active,AGT0120,Pahang
POL0000047,PTP000876,Family Takaful - Education,Family,True,2022-07-03,2023-07-03,1,Semi-Annual,614.55,Active,AGT0113,Labuan
POL0000048,PTP002665,Medical & Health Takaful,Family,False,2025-10-07,2026-10-07,1,Monthly,1051.97,Active,AGT0096,Kuala Lumpur
POL0000049,PTP000245,Family Takaful - Education,Family,True,2026-05-22,2031-05-21,5,Quarterly,217.26,Active,AGT0084,Penang
POL0000050,PTP000266,Family Takaful - Retirement,Family,True,2023-07-27,2038-07-23,15,Annual,988.69,Active,AGT0027,Selangor
